Cenario; Periodo; Custo Total; Custo GT; Custo Deficit Energia; Custo Deficit Capacidade; Custo Bombeamento; Custo Intercambio; Custo Penalidades GH
1; 1; 373415256.99461114; 373415145.30915695; 0.0; 0.0; 0.0; 111.68545418697542; 0.0
1; 2; 373415251.424034; 373415145.309157; 0.0; 0.0; 0.0; 106.11487701147725; 0.0
1; 3; 373415249.99069357; 373415145.30915695; 0.0; 0.0; 0.0; 104.6815366183046; 0.0
1; 4; 373415234.27087677; 373415145.30915695; 0.0; 0.0; 0.0; 88.9617198486797; 0.0
1; 5; 373415234.8129122; 373415145.30915695; 0.0; 0.0; 0.0; 89.5037553114339; 0.0
1; 6; 373415224.7759971; 373415145.3091569; 0.0; 0.0; 0.0; 79.46684020740194; 0.0
1; 7; 373415215.04325736; 373415145.30915684; 0.0; 0.0; 0.0; 69.73410054682118; 0.0
1; 8; 373415219.32845235; 373415145.3091569; 0.0; 0.0; 0.0; 74.01929546630724; 0.0
1; 9; 373415233.4839687; 373415145.3091569; 0.0; 0.0; 0.0; 88.1748117877822; 0.0
1; 10; 440486699.6741672; 373415145.3091569; 0.0; 0.0; 0.0; 89.60903694627223; 67071464.75597335
1; 11; 377463143.48676836; 377463058.5491998; 0.0; 0.0; 0.0; 84.9375685563866; 0.0
1; 12; 373415229.3194698; 373415145.30915695; 0.0; 0.0; 0.0; 84.01031285494841; 0.0
1; 13; 401137076.1590628; 401136955.75039196; 0.0; 0.0; 0.0; 120.40867080961547; 0.0
1; 14; 393905779.62242883; 393905659.33737075; 0.0; 0.0; 0.0; 120.28505812250191; 0.0
1; 15; 393905770.78167135; 393905659.33737093; 0.0; 0.0; 0.0; 111.44430044585312; 0.0
1; 16; 393905760.2211855; 393905659.33737093; 0.0; 0.0; 0.0; 100.88381456894169; 0.0
1; 17; 393905751.5274876; 393905659.337371; 0.0; 0.0; 0.0; 92.19011657393779; 0.0
1; 18; 393905741.1503846; 393905659.33737075; 0.0; 0.0; 0.0; 81.81301385522903; 0.0
1; 19; 404293585.5596485; 393905659.3373709; 0.0; 0.0; 0.0; 77.20918592338849; 0.0
1; 20; 411451604.3910518; 401063677.276797; 0.0; 0.0; 0.0; 78.10116309406823; 0.0
1; 21; 421759278.90986764; 411371338.62624997; 0.0; 0.0; 0.0; 91.27052597012614; 0.0
1; 22; 563116216.5280215; 459432062.06969166; 26224749.890219018; 0.0; 0.0; 90.79904574854686; 67071464.75597335
1; 23; 848992258.8782232; 459443427.2378303; 379160896.5154453; 0.0; 0.0; 86.11185582252237; 0.0
1; 24; 420799757.2849266; 410411821.70798564; 0.0; 0.0; 0.0; 86.56384918827082; 0.0
1; 25; 444430919.2965598; 434042951.65665334; 0.0; 0.0; 0.0; 118.62681472105287; 0.0
1; 26; 405528741.45844233; 395140767.53227615; 0.0; 0.0; 0.0; 124.91307445324928; 0.0
1; 27; 405528735.50997496; 395140767.53227615; 0.0; 0.0; 0.0; 118.96460702845849; 0.0
1; 28; 405528722.7384448; 395140767.53227615; 0.0; 0.0; 0.0; 106.19307694161574; 0.0
1; 29; 405528713.1137527; 395140767.5322761; 0.0; 0.0; 0.0; 96.56838490241506; 0.0
1; 30; 407969887.7320631; 397581952.4322761; 0.0; 0.0; 0.0; 86.2866952504247; 0.0
1; 31; 420628806.79764974; 397581952.4322761; 0.0; 0.0; 0.0; 81.29090873230598; 0.0
1; 32; 431585074.274643; 408538220.0376741; 0.0; 0.0; 0.0; 81.16250398394978; 0.0
1; 33; 457015831.1562802; 433968961.9426629; 0.0; 0.0; 0.0; 96.13915246339666; 0.0
