NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO 
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX 
 500 POTEF  1000.00  1 2031          Nuclear
 500 GTMIN   911.12  1 2031        
 511 POTEF  1533.93  1 2030 12 2030  GNCS SE FLEX
 511 POTEF  2539.67  1 2031 12 2031
 511 POTEF  4126.53  1 2032 12 2032
 511 POTEF  6835.04  1 2033 12 2033
 511 POTEF  9160.26  1 2034 12 2034
 511 POTEF  9999.00  1 2035        
 512 POTEF  2481.58  1 2035 12 2035
 512 POTEF  5797.14  1 2036        
 513 POTEF  2500.00  1 2028 12 2028  GNNAC SE 70
 513 GTMIN  1663.59  1 2028 12 2028
 513 POTEF  3500.00  1 2029 12 2029
 513 GTMIN  2329.03  1 2029 12 2029
 513 POTEF  4500.00  1 2030        
 513 GTMIN  2994.47  1 2030        
 517 POTEF    42.61  1 2036          GNL S FLEX
 521 POTEF  2253.82  1 2026 12 2026  GNCS S FLEX
 521 POTEF  3775.89  1 2027 12 2027
 521 POTEF  4088.20  1 2028 12 2028
 521 POTEF  4650.37  1 2029 12 2029
 521 POTEF  4948.70  1 2030 12 2030
 521 POTEF  5626.39  1 2031 12 2031
 521 POTEF  6360.39  1 2032 12 2032
 521 POTEF  7378.81  1 2033 12 2033
 521 POTEF  7520.79  1 2034 12 2034
 521 POTEF  7546.30  1 2035 12 2035
 521 POTEF  8198.81  1 2036        
 531 POTEF  1111.40  1 2032 12 2033  GNCS NE FLEX
 531 POTEF  1871.25  1 2034 12 2034
 531 POTEF  2595.40  1 2035        
 533 POTEF  1000.00  1 2027          GNNAC NE 70
 533 GTMIN   665.44  1 2027        
 541 POTEF     1.13  1 2035          GNCS N FLEX
 543 POTEF  1000.00  1 2026 12 2026  GNNAC N 70
 543 GTMIN   665.44  1 2026 12 2026
 543 POTEF  2000.00  1 2027 12 2027
 543 GTMIN  1330.87  1 2027 12 2027
 543 POTEF  2500.00  1 2028        
 543 GTMIN  1663.59  1 2028        
 547 POTEF    35.00  1 2030 12 2030  CAVACO
 547 GTMIN     9.48  1 2030 12 2030
 547 POTEF    70.00  1 2031 12 2031
 547 GTMIN    18.95  1 2031 12 2031
 547 POTEF   105.00  1 2032 12 2032
 547 GTMIN    28.43  1 2032 12 2032
 547 POTEF   140.00  1 2033 12 2033
 547 GTMIN    37.90  1 2033 12 2033
 547 POTEF   175.00  1 2034 12 2034
 547 GTMIN    47.38  1 2034 12 2034
 547 POTEF   210.00  1 2035 12 2035
 547 GTMIN    56.86  1 2035 12 2035
 547 POTEF   245.00  1 2036        
 547 GTMIN    66.33  1 2036        
 548 POTEF   350.00  1 2028 12 2028  CARVAO NAC
 548 GTMIN    94.76  1 2028 12 2028
 548 POTEF   700.00  1 2029 12 2029
 548 GTMIN   189.53  1 2029 12 2029
 548 POTEF  1050.00  1 2030 12 2030
 548 GTMIN   284.29  1 2030 12 2030
 548 POTEF  1400.00  1 2031 12 2031
 548 GTMIN   379.05  1 2031 12 2031
 548 POTEF  1750.00  1 2032 12 2032
 548 GTMIN   473.81  1 2032 12 2032
 548 POTEF  2100.00  1 2033 12 2033
 548 GTMIN   568.57  1 2033 12 2033
 548 POTEF  2450.00  1 2034 12 2034
 548 GTMIN   663.34  1 2034 12 2034
 548 POTEF  2800.00  1 2035 12 2035
 548 GTMIN   758.10  1 2035 12 2035
 548 POTEF  3150.00  1 2036        
 548 GTMIN   852.86  1 2036        
 550 POTEF     0.87  1 2028 12 2028  RD A N
 550 POTEF   383.83  1 2029        
 551 POTEF   469.41  1 2028          RD A SE
 552 POTEF     5.78  1 2028          RD A NE
 553 POTEF    20.13  1 2027 12 2027  RD B N
 553 POTEF    44.08  1 2028        
 554 POTEF   186.05  1 2026          RD B NE
 555 POTEF    60.04  1 2024 12 2024  RD B SE
 555 POTEF   260.04  1 2025 12 2025
 555 POTEF   273.99  1 2026 12 2026
 555 POTEF   653.86  1 2027        
 556 POTEF   139.96  1 2024          RD B S
 557 POTEF     6.52  1 2030          RD C N
 558 POTEF    21.69  1 2029          RD C NE
 559 POTEF   195.35  1 2029 12 2029  RD C SE
 559 POTEF   235.62  1 2030        
 561 POTEF   350.00  1 2025          TRES LAGOAS
 564 POTEF  1036.00  1 2025          TERMORIO
 565 POTEF   204.00  1 2026          LINHARES
 568 POTEF   248.57  7 2023          CANOAS
 569 POTEF    87.05  1 2024          JUIZ DE FORA
 570 POTEF   226.00  7 2024          IBIRITE
 571 POTEF   326.60  1 2025          FORTALEZA
 572 POTEF   826.78  1 2025          NORTEFLU
 573 POTEF   532.76  1 2025          TERMOPE
 575 POTEF   500.00  1 2027          ST.CRUZ NOVA
 576 POTEF   166.00  7 2022          APARECIDA
 660 POTEF   164.55  1 2030          RD C S
