Periodo; Sis_Origem; Sis_Destino; Patamar; CapExistente; ExpansaoInt
1;1;1;1;0;0.0
1;1;1;2;0;0.0
1;1;1;3;0;0.0
1;1;1;4;0;0.0
1;1;2;1;6300.0;0.0
1;1;2;2;6300.0;0.0
1;1;2;3;6300.0;0.0
1;1;2;4;6200.0;0.0
1;1;3;1;2000.0;0.0
1;1;3;2;2000.0;0.0
1;1;3;3;2000.0;0.0
1;1;3;4;2000.0;0.0
1;1;4;1;0;0.0
1;1;4;2;0;0.0
1;1;4;3;0;0.0
1;1;4;4;0;0.0
1;1;5;1;0.0;0.0
1;1;5;2;0.0;0.0
1;1;5;3;0.0;0.0
1;1;5;4;0.0;0.0
1;1;6;1;440.0;0.0
1;1;6;2;440.0;0.0
1;1;6;3;440.0;0.0
1;1;6;4;440.0;0.0
1;1;7;1;0;0.0
1;1;7;2;0;0.0
1;1;7;3;0;0.0
1;1;7;4;0;0.0
1;1;8;1;0;0.0
1;1;8;2;0;0.0
1;1;8;3;0;0.0
1;1;8;4;0;0.0
1;1;9;1;0.0;0.0
1;1;9;2;0.0;0.0
1;1;9;3;0.0;0.0
1;1;9;4;0.0;0.0
1;1;10;1;99999.0;0.0
1;1;10;2;99999.0;0.0
1;1;10;3;99999.0;0.0
1;1;10;4;99999.0;0.0
1;1;11;1;0.0;0.0
1;1;11;2;0.0;0.0
1;1;11;3;0.0;0.0
1;1;11;4;0.0;0.0
1;1;12;1;0.0;0.0
1;1;12;2;0.0;0.0
1;1;12;3;0.0;0.0
1;1;12;4;0.0;0.0
1;1;13;1;4000.0;0.0
1;1;13;2;4000.0;0.0
1;1;13;3;4000.0;0.0
1;1;13;4;4000.0;0.0
1;1;14;1;2500.0;0.0
1;1;14;2;2500.0;0.0
1;1;14;3;2500.0;0.0
1;1;14;4;2500.0;0.0
1;2;1;1;4500.0;0.0
1;2;1;2;4500.0;0.0
1;2;1;3;4500.0;0.0
1;2;1;4;4400.0;0.0
1;2;2;1;0;0.0
1;2;2;2;0;0.0
1;2;2;3;0;0.0
1;2;2;4;0;0.0
1;2;3;1;0;0.0
1;2;3;2;0;0.0
1;2;3;3;0;0.0
1;2;3;4;0;0.0
1;2;4;1;0;0.0
1;2;4;2;0;0.0
1;2;4;3;0;0.0
1;2;4;4;0;0.0
1;2;5;1;300.0;0.0
1;2;5;2;300.0;0.0
1;2;5;3;300.0;0.0
1;2;5;4;300.0;0.0
1;2;6;1;0;0.0
1;2;6;2;0;0.0
1;2;6;3;0;0.0
1;2;6;4;0;0.0
1;2;7;1;0;0.0
1;2;7;2;0;0.0
1;2;7;3;0;0.0
1;2;7;4;0;0.0
1;2;8;1;0;0.0
1;2;8;2;0;0.0
1;2;8;3;0;0.0
1;2;8;4;0;0.0
1;2;9;1;0;0.0
1;2;9;2;0;0.0
1;2;9;3;0;0.0
1;2;9;4;0;0.0
1;2;10;1;0;0.0
1;2;10;2;0;0.0
1;2;10;3;0;0.0
1;2;10;4;0;0.0
1;2;11;1;0;0.0
1;2;11;2;0;0.0
1;2;11;3;0;0.0
1;2;11;4;0;0.0
1;2;12;1;3000.0;0.0
1;2;12;2;3000.0;0.0
1;2;12;3;3000.0;0.0
1;2;12;4;2900.0;0.0
1;2;13;1;0;0.0
1;2;13;2;0;0.0
1;2;13;3;0;0.0
1;2;13;4;0;0.0
1;2;14;1;0;0.0
1;2;14;2;0;0.0
1;2;14;3;0;0.0
1;2;14;4;0;0.0
1;3;1;1;2300.0;0.0
1;3;1;2;2300.0;0.0
1;3;1;3;2150.0;0.0
1;3;1;4;2000.0;0.0
1;3;2;1;0;0.0
1;3;2;2;0;0.0
1;3;2;3;0;0.0
1;3;2;4;0;0.0
1;3;3;1;0;0.0
1;3;3;2;0;0.0
1;3;3;3;0;0.0
1;3;3;4;0;0.0
1;3;4;1;0;0.0
1;3;4;2;0;0.0
1;3;4;3;0;0.0
1;3;4;4;0;0.0
1;3;5;1;0;0.0
1;3;5;2;0;0.0
1;3;5;3;0;0.0
1;3;5;4;0;0.0
1;3;6;1;0;0.0
1;3;6;2;0;0.0
1;3;6;3;0;0.0
1;3;6;4;0;0.0
1;3;7;1;0;0.0
